run,lab no,        pH       ,om , P ,K ,sand ,   silt    ,clay,texture,from,transplant,var,no,x1,y1,tam,amphoe,prov,soilseries,seriesname,suit,text.code,se.tex
1,1555/61,6.01,2.73,35,133,46.4,33.7,19.9,loam,4.1,โยนกล้า,กข6,554,701861,2123535,ต.ปัว,อ.ปัว,จ.น่าน,Cm,เชียงใหม่,N,l,Cm.l
2,1556/61,5.89,2.92,31,119,46.6,33.6,19.8,loam,4.2,โยนกล้า,กข6,555,701861,2123535,ต.ปัว,อ.ปัว,จ.น่าน,Cm,เชียงใหม่,N,l,Cm.l
3,611/61,4.54,2.853955375,37,102,45,31.6,23.4,loam,560603-3,ปักดำ (คน),พันธุ์พื้นเมือง,1019,639483,2126486,ต.ออย,อ.ปง,จ.พะเยา,Cm,เชียงใหม่,S2,l,Cm.l
4,2477,4.93,1.93,15,92,50,28,22,loam,520402-18,ปักดำ (คน),กข6,1888,521167,2001898,ต.เสริมขวา,อ.เสริมงาม,จ.ลำปาง,Cm,เชียงใหม่,S2,l,Cm.l
5,1396,6.51,3.053248353,71,142,48.5,29.5,22,loam,540608-2,หว่านน้ำตม,พันธุ์พื้นเมือง,1475,624104,2035669,ต.ทุ่งน้าว,อ.สอง,จ.แพร่,Cm,เชียงใหม่,S3,l,Cm.l
6,1396/61,6.51,3.053248353,71,142,48.5,29.5,22,loam,540608-2,หว่านน้ำตม,พันธุ์พื้นเมือง,1476,624104,2035669,ต.ทุ่งน้าว,อ.สอง,จ.แพร่,Cm,เชียงใหม่,S3,l,Cm.l
7,2541,5.44,4.07,19,107,42.4,37.6,20,loam,521204-1,ปักดำ (คน),กข6,2030,535134,1980178,ต.นายาง,อ.สบปราบ,จ.ลำปาง,Cm,เชียงใหม่,S3,l,Cm.l
8,2487,5.1,0.93,9,94,78.8,13.6,7.6,loamy sand,520901-13,ปักดำ (คน),กข6,1965,512267,1925152,ต.แม่พริก,อ.แม่พริก,จ.ลำปาง,Cm,เชียงใหม่,N,l.s,Cm.l.s
9,2503,5.65,1.19,6,95,84,10,6,loamy sand,520901-30,ปักดำ (คน),กข6,1977,512097,1929531,ต.แม่พริก,อ.แม่พริก,จ.ลำปาง,Cm,เชียงใหม่,N,l.s,Cm.l.s
10,2504,6.2,1.29,7,45,78,14,8,loamy sand,520901-31,ปักดำ (คน),ขาวดอกมะลิ 105,1978,512097,1929531,ต.แม่พริก,อ.แม่พริก,จ.ลำปาง,Cm,เชียงใหม่,N,l.s,Cm.l.s
11,2479,5.23,1.14,8,191,82,12,6,loamy sand,520901-5,ปักดำ (คน),ขาวดอกมะลิ 105,1979,512097,1929531,ต.แม่พริก,อ.แม่พริก,จ.ลำปาง,Cm,เชียงใหม่,N,l.s,Cm.l.s
12,1652,5.46,1.98,3,42,58,18,24,sandy clay loam,550502-4,ปักดำ (คน),กข6,657,694968,2121601,ต.แงง,อ.ปัว,จ.น่าน,Cm,เชียงใหม่,N,s.c.l,Cm.s.c.l
13,1653,6.16,1.4,3,28,58,20,22,sandy clay loam,550502-5,ปักดำ (คน),กข6,658,694985,2121591,ต.แงง,อ.ปัว,จ.น่าน,Cm,เชียงใหม่,N,s.c.l,Cm.s.c.l
14,1465/61,6.37,2.786479218,14,78,49,24.3,26.7,sandy clay loam,560401-22,หว่านน้ำตม,กข6,930,636630,2088215,ต.เชียงม่วน,อ.เชียงม่วน,จ.พะเยา,Cm,เชียงใหม่,N,s.c.l,Cm.s.c.l
15,1467/61,5.28,2.112220049,18,65,62.6,17.4,20,sandy clay loam,560401-24,หว่านน้ำตม,กข6,932,636959,2087955,ต.เชียงม่วน,อ.เชียงม่วน,จ.พะเยา,Cm,เชียงใหม่,N,s.c.l,Cm.s.c.l
16,612/61,4.77,1.441247465,24,56,55.2,23.4,21.4,sandy clay loam,560603-5,ปักดำ (คน),พันธุ์พื้นเมือง,1020,639653,2128230,ต.ออย,อ.ปง,จ.พะเยา,Cm,เชียงใหม่,N,s.c.l,Cm.s.c.l
17,2501,7.52,3.23,5,102,48,28,24,sandy clay loam,520901-27,ปักดำ (คน),ข้าวไรซ์เบอรี่,1974,514832,1926517,ต.พระบาทวังตวง,อ.แม่พริก,จ.ลำปาง,Cm,เชียงใหม่,N,s.c.l,Cm.s.c.l
18,646/61,4.79,2.81,70,282,49,26.3,24.7,sandy clay loam,580602-4,ปักดำ (คน),ขาวดอกมะลิ 105,1812,385990,1993940,ต.แม่ยวม,อ.แม่สะเรียง,จ.แม่ฮ่องสอน,Cm,เชียงใหม่,S1,s.c.l,Cm.s.c.l
19,63/61,4.76,2.88,18,157,47.6,27.7,24.7,sandy clay loam,520607-11,หว่านน้ำตม,กข6,1916,559852,2068270,ต.แจ้ห่ม,อ.แจ้ห่ม,จ.ลำปาง,Cm,เชียงใหม่,S1,s.c.l,Cm.s.c.l
20,1115/61,5.28,1.901210057,2.7729,43,55.7,23.9,20.4,sandy clay loam,560403-7,หยอดข้าวแห้ง,กข6,979,633766,2089774,ต.บ้านมาง,อ.เชียงม่วน,จ.พะเยา,Cm,เชียงใหม่,S2,s.c.l,Cm.s.c.l
21,623/61,5.12,2.004903651,9,38,48.5,26.7,24.8,sandy clay loam,560604-11,ปักดำ (เครื่อง),กข6,1025,641639,2127729,ต.งิม,อ.ปง,จ.พะเยา,Cm,เชียงใหม่,S2,s.c.l,Cm.s.c.l
22,1244/61,7.63,3.39,118,146,53.3,20.7,26,sandy clay loam,500801-8,ปักดำ (คน),สันป่าตอง 1,318,471831,2081758,ต.สะเมิงใต้,อ.สะเมิง,จ.เชียงใหม่,Cm,เชียงใหม่,S3,s.c.l,Cm.s.c.l
23,1464/61,5.89,3.804748166,21,205,58.9,22.5,18.6,sandy loam,560401-21,ปักดำ (คน),กข6,929,636780,2088014,ต.เชียงม่วน,อ.เชียงม่วน,จ.พะเยา,Cm,เชียงใหม่,N,s.l,Cm.s.l
24,1469/61,5.08,1.857652812,25,66,64.6,17.2,18.2,sandy loam,560401-26,ปักดำ (คน),กข6,934,636658,2088067,ต.เชียงม่วน,อ.เชียงม่วน,จ.พะเยา,Cm,เชียงใหม่,N,s.l,Cm.s.l
25,1135/61,4.71,1.120511518,3.5787,29,74.4,21.4,4.2,sandy loam,560402-18,หยอดข้าวแห้ง,สันป่าตอง 1,961,633562,2093324,ต.บ้านมาง,อ.เชียงม่วน,จ.พะเยา,Cm,เชียงใหม่,N,s.l,Cm.s.l
26,1109/61,5.82,1.371450334,40.4796,94,65.6,24.1,10.3,sandy loam,560403-1,หยอดข้าวแห้ง,กข6,972,633677,2091260,ต.บ้านมาง,อ.เชียงม่วน,จ.พะเยา,Cm,เชียงใหม่,N,s.l,Cm.s.l
27,1367,7.14,1.446817516,39.494,105,54.3,30.9,14.8,sandy loam,540601-4,หว่านน้ำตม,พันธุ์พื้นเมือง,1366,622721,2041148,ต.บ้านหนุน,อ.สอง,จ.แพร่,Cm,เชียงใหม่,N,s.l,Cm.s.l
28,1367/61,7.14,1.446817516,39.494,105,54.3,30.9,14.8,sandy loam,540601-4,หว่านน้ำตม,พันธุ์พื้นเมือง,1367,622721,2041148,ต.บ้านหนุน,อ.สอง,จ.แพร่,Cm,เชียงใหม่,N,s.l,Cm.s.l
29,2484,6.43,1.5,96,466,70,18,12,sandy loam,520901-10,ปักดำ (คน),กข6,1962,512097,1929531,ต.แม่พริก,อ.แม่พริก,จ.ลำปาง,Cm,เชียงใหม่,N,s.l,Cm.s.l
30,2481,6.78,2.15,16,153,72,14,14,sandy loam,520901-7,ปักดำ (คน),พันธุ์พื้นเมือง,1981,512097,1929531,ต.แม่พริก,อ.แม่พริก,จ.ลำปาง,Cm,เชียงใหม่,N,s.l,Cm.s.l
31,2404,5.46,2.12,14,108,60.4,21.6,18,sandy loam,570505-44,หว่านน้ำตม,กข15,107,585612,2160764,ต.ดอยงาม,อ.พาน,จ.เชียงราย,Cm,เชียงใหม่,S1,s.l,Cm.s.l
32,644/61,6.5,1.9,60,198,56.7,28.3,15,sandy loam,580602-2,ปักดำ (คน),ขาวดอกมะลิ 105,1810,386059,1996457,ต.แม่ยวม,อ.แม่สะเรียง,จ.แม่ฮ่องสอน,Cm,เชียงใหม่,S1,s.l,Cm.s.l
33,62/61,5.25,1.92,10,19,75.6,15.8,8.6,sandy loam,520607-10,หว่านน้ำตม,กข6,1915,559852,2068270,ต.แจ้ห่ม,อ.แจ้ห่ม,จ.ลำปาง,Cm,เชียงใหม่,S1,s.l,Cm.s.l
34,64/61,7.6,5.09,872,625,63.6,25.7,10.7,sandy loam,520607-12,ปักดำ (คน),กข6,1917,559852,2068270,ต.แจ้ห่ม,อ.แจ้ห่ม,จ.ลำปาง,Cm,เชียงใหม่,S1,s.l,Cm.s.l
35,66/61,5.42,2.07,27,58,61.5,23.8,14.7,sandy loam,520607-14,หว่านน้ำตม,สันป่าตอง 1,1919,559852,2068270,ต.แจ้ห่ม,อ.แจ้ห่ม,จ.ลำปาง,Cm,เชียงใหม่,S1,s.l,Cm.s.l
36,1320/61,5.39,1.86,24,140,70.7,16.2,13.1,sandy loam,501004-4,ปักดำ (คน),สันป่าตอง 1,436,533473,2211513,ต.แม่นาวาง,อ.แม่อาย,จ.เชียงใหม่,Cm,เชียงใหม่,S3,s.l,Cm.s.l
37,1365,5.32,1.141321054,21.7315,132,56.3,27,16.7,sandy loam,540601-2,หว่านน้ำตม,สันป่าตอง 1,1361,622308,2041660,ต.บ้านหนุน,อ.สอง,จ.แพร่,Cm,เชียงใหม่,S3,s.l,Cm.s.l
38,1365/61,5.32,1.141321054,21.7315,132,56.3,27,16.7,sandy loam,540601-2,หว่านน้ำตม,สันป่าตอง 1,1362,622308,2041660,ต.บ้านหนุน,อ.สอง,จ.แพร่,Cm,เชียงใหม่,S3,s.l,Cm.s.l
39,1366,6.43,1.755746524,24.304,77,58.3,25,16.7,sandy loam,540601-3,หว่านน้ำตม,สันป่าตอง 1,1364,622435,2041425,ต.บ้านหนุน,อ.สอง,จ.แพร่,Cm,เชียงใหม่,S3,s.l,Cm.s.l
40,1366/61,6.43,1.755746524,24.304,77,58.3,25,16.7,sandy loam,540601-3,หว่านน้ำตม,สันป่าตอง 1,1365,622435,2041425,ต.บ้านหนุน,อ.สอง,จ.แพร่,Cm,เชียงใหม่,S3,s.l,Cm.s.l
41,1368/61,7.34,0.557788485,23.2505,34,70.3,20.9,8.8,sandy loam,540601-5,ปักดำ (เครื่อง),สันป่าตอง 1,1369,622189,2041458,ต.บ้านหนุน,อ.สอง,จ.แพร่,Cm,เชียงใหม่,S3,s.l,Cm.s.l
42,1369,4.82,1.237432301,37.289,127,58.3,24.7,17,sandy loam,540601-6,ปักดำ (คน),สันป่าตอง 1,1370,621933,2041979,ต.บ้านหนุน,อ.สอง,จ.แพร่,Cm,เชียงใหม่,S3,s.l,Cm.s.l
43,1369/61,4.82,1.237432301,37.289,127,58.3,24.7,17,sandy loam,540601-6,ปักดำ (คน),สันป่าตอง 1,1371,621933,2041979,ต.บ้านหนุน,อ.สอง,จ.แพร่,Cm,เชียงใหม่,S3,s.l,Cm.s.l
